id,firstname,lastname,facultytitle,facultyschool,facultydept,graddegree,gradschool,gradyear
1,Divyakant,Agrawal,Professor,14,Computer Science,Ph.D,,
2,Kevin,Almeroth,Professor,14,Computer Science,Ph.D,,1997
3,Elizabeth,Belding,Professor & Vice Chair,14,Computer Science,Ph.D,14,2000
4,Tevfik,Bultan,Professor,14,Computer Science,Ph.D,,1998
5,Peter,Cappello,Professor,14,Computer Science,Ph.D,,
6,Fred,Chong,Professor,14,Computer Science,Ph.D,,1996
7,Phillip,Conrad,Lecturer SOE,14,Computer Science,Ph.D,279,2001
8,C.,Costanzo,Lecturer,14,Computer Science,Ph.D,,1985
9,Wim,Dam,Associate Professor,14,Computer Science,Ph.D,,2002
10,Ömer,Eğecioğlu,Professor,14,Computer Science,Ph.D,,1984
11,Amr,Abbadi,Professor,14,Computer Science,Ph.D,,
12,Diana,Franklin,Lecturer SOE,14,Computer Science,Ph.D,6,2002
13,Frederic,Gibou,Professor,14,Computer Science,Ph.D,,2001
14,John,Gilbert,Professor,14,Computer Science,Ph.D,,1981
15,Teofilo,Gonzalez,Professor,14,Computer Science,Ph.D,,1975
16,Ben,Hardekopf,Assistant Professor,14,Computer Science,Ph.D,,2009
17,Tobias,Höllerer,Professor,14,Computer Science,Ph.D,246,2003
18,Oscar,Ibarra,Professor Emeritus,14,Computer Science,Ph.D,,
19,Janet,Kayfetz,Lecturer,14,Computer Science,,,
20,Richard,Kemmerer,Professor,14,Computer Science,Ph.D,,1979
21,Çetin,Koç,Lecturer,14,Computer Science,Ph.D,,
22,Alan,Konheim,Professor Emeritus,14,Computer Science,,,
23,Chandra,Krintz,Professor & Vice Chair,14,Computer Science,Ph.D,,2001
24,Christopher,Kruegel,Professor,14,Computer Science,Ph.D,,2002
25,Huijia,Lin,Assistant Professor,14,Computer Science,Ph.D,245,2011
26,Marvin,Marcus,Professor Emeritus,14,Computer Science,,,
27,Linda,Petzold,Professor,14,Computer Science,Ph.D,,1978
28,Timothy,Sherwood,Professor,14,Computer Science,Ph.D,9,2003
29,Ambuj,Singh,Professor & Chair,14,Computer Science,Ph.D,,1989
30,Terrence,Smith,Professor Emeritus,14,Computer Science,,,
31,Jianwen,Su,Professor,14,Computer Science,Ph.D,,
32,Subhash,Suri,Professor,14,Computer Science,Ph.D,244,1987
33,Stefano,Tessaro,Assistant Professor,14,Computer Science,Ph.D,,2010
34,Matthew,Turk,Professor,14,Computer Science,Ph.D,,1991
35,Giovanni,Vigna,Professor,14,Computer Science,Ph.D,,1998
36,Yuan-Fang,Wang,Professor,14,Computer Science,Ph.D,,1987
37,Rich,Wolski,Professor,14,Computer Science,Ph.D,,1994
38,Xifeng,Yan,Associate Professor,14,Computer Science,Ph.D,,2006
39,Tao,Yang,Professor,14,Computer Science,Ph.D,233,1993
40,Ben,Zhao,Professor,14,Computer Science,Ph.D,1,2004
41,Heather,Zheng,Professor,14,Computer Science,Ph.D,,1999
42,Kaustav,Banerjee,Professor,14,Electrical and Computer Engineering,,,
43,Daniel,Blumenthal,Professor,14,Electrical and Computer Engineering,,,
44,John,Bowers,Professor,14,Electrical and Computer Engineering,,,
45,Forrest,Brewer,Professor,14,Electrical and Computer Engineering,,,
46,James,Buckwalter,Professor,14,Electrical and Computer Engineering,,,
47,Alberto,Busetto,Assistant Professor,14,Electrical and Computer Engineering,,,
48,Katie,Byl,Assistant Professor,14,Electrical and Computer Engineering,,,
49,Shiv,Chandrasekaran,Professor,14,Electrical and Computer Engineering,,,
50,Kwang-Ting,Cheng,Professor,14,Electrical and Computer Engineering,,,
51,Larry,Coldren,Professor,14,Electrical and Computer Engineering,,,
52,Nadir,Dagli,,14,Electrical and Computer Engineering,,,
53,Steven,Denbaars,Professor,14,Electrical and Computer Engineering,,,
54,Jerry,Gibson,Professor,14,Electrical and Computer Engineering,,,
55,João,Hespanha,,14,Electrical and Computer Engineering,,,
56,Hua,Lee,Professor,14,Electrical and Computer Engineering,,,
57,Michael,Liebling,Associate Professor,14,Electrical and Computer Engineering,,,
