"('bottom', 'end', 'front')"
"('protector', 'cover', 'front')"
"('surface', 'first', 'side')"
"('strap', 'joined', 'first')"
"('portion', 'chest', 'stomach')"
"('use', 'user', 'pouch')"
"('neck', 'user', 'pouch')"
"('side', 'first', 'second')"
"('particulates', 'liquids', 'moving')"
"('tear', 'end', 'produced')"
"('first', 'strap', 'tear')"
"('second', 'end', 'portion')"
"('stomach', 'user', 'neck')"
"('around', 'back', 'neck')"
"('end', 'second', 'end')"
"('removal', 'protector', 'neck')"
"('strap', 'sections', 'first')"
"('end', 'protector', 'cover')"
"('second', 'side', 'protector')"
"('tear', 'end', 'including')"
"('positioned', 'strap', 'tearable')"
"('length', 'strap', 'pouch')"
"('front', 'portion', 'chest')"
"('protector', 'support', 'comprises')"
"('protector', 'support', 'position')"
"('second', 'end', 'supported')"
"('neck', 'user', 'wherein')"
"('includes', 'least', 'one')"
"('position', 'storage', 'second')"
"('protector', 'cover', 'around')"
"('one', 'first', 'closed')"
"('second', 'side', 'first')"
"('section', 'tear', 'end')"
"('strap', 'section', 'first')"
"('perforation', 'torn', 'permits')"
"('position', 'covering', 'front')"
"('joined', 'first', 'side')"
"('joinable', 'form', 'strap')"
"('cover', 'wherein', 'strap')"
"('positioned', 'strap', 'section')"
"('wherein', 'strap', 'includes')"
"('second', 'end', 'protector')"
"('user', 'second', 'end')"
"('protector', 'support', 'adapted')"
"('quick', 'removal', 'protector')"
"('section', 'second', 'strap')"
"('section', 'tearable', 'perforation')"
"('section', 'positioned', 'strap')"
"('tearable', 'perforation', 'adhesive')"
"('liquids', 'moving', 'downwardly')"
"('extend', 'first', 'end')"
"('two', 'strap', 'sections')"
"('end', 'joined', 'second')"
"('supported', 'first', 'end')"
"('sections', 'first', 'strap')"
"('surface', 'protector', 'cover')"
"('second', 'end', 'second')"
"('end', 'joined', 'first')"
"('end', 'including', 'adhesive')"
"('adhesive', 'section', 'positioned')"
"('second', 'strap', 'section')"
"('strap', 'section', 'joinable')"
"('protector', 'use', 'user')"
"('protector', 'cover', 'second')"
"('strip', 'joined', 'second')"
"('stomach', 'user', 'protector')"
"('end', 'front', 'back')"
"('perforation', 'torn', 'first')"
"('first', 'end', 'joined')"
"('tearable', 'perforation', 'least')"
"('strap', 'section', 'tearable')"
"('torn', 'first', 'strap')"
"('strap', 'includes', 'least')"
"('cover', 'pouch', 'top')"
"('support', 'adapted', 'support')"
"('strap', 'tear', 'end')"
"('form', 'strap', 'wherein')"
"('adhesive', 'section', 'second')"
"('tearable', 'perforation', 'torn')"
"('support', 'garment', 'protector')"
"('user', 'wherein', 'protector')"
"('one', 'adhesive', 'section')"
"('produced', 'second', 'strap')"
"('strap', 'tearable', 'perforation')"
"('section', 'first', 'strap')"
"('second', 'end', 'positioned')"
"('chest', 'stomach', 'user')"
"('moving', 'downwardly', 'along')"
"('joined', 'second', 'side')"
"('front', 'surface', 'protector')"
"('first', 'closed', 'position')"
"('end', 'joinable', 'adhesive')"
"('end', 'strap', 'joined')"
"('protector', 'cover', 'pouch')"
"('disposable', 'garment', 'protector')"
"('strap', 'section', 'tear')"
"('downwardly', 'along', 'front')"
"('first', 'end', 'portion')"
"('opened', 'position', 'top')"
"('back', 'neck', 'user')"
"('end', 'produced', 'second')"
"('perforation', 'least', 'one')"
"('user', 'pouch', 'positioned')"
"('end', 'protector', 'support')"
"('cover', 'around', 'back')"
"('support', 'position', 'covering')"
"('surface', 'back', 'surface')"
"('fold', 'one', 'first')"
"('tear', 'end', 'joinable')"
"('end', 'second', 'strap')"
"('positioned', 'extend', 'first')"
"('support', 'comprises', 'two')"
"('garment', 'protector', 'neck')"
"('change', 'length', 'strap')"
"('perforation', 'adhesive', 'section')"
"('side', 'protector', 'cover')"
"('pouch', 'positioned', 'second')"
"('portion', 'second', 'strap')"
"('strap', 'section', 'pouch')"
"('positioned', 'second', 'end')"
"('second', 'end', 'strip')"
"('strap', 'section', 'includes')"
"('portion', 'first', 'strap')"
"('protector', 'cover', 'wherein')"
"('least', 'one', 'adhesive')"
"('adhesive', 'section', 'first')"
"('positioned', 'collect', 'particulates')"
"('end', 'first', 'end')"
"('permits', 'removal', 'protector')"
"('side', 'second', 'side')"
"('collect', 'particulates', 'liquids')"
"('cover', 'disposable', 'garment')"
"('strap', 'pouch', 'positioned')"
"('side', 'first', 'end')"
"('first', 'second', 'end')"
"('closed', 'position', 'storage')"
"('section', 'includes', 'least')"
"('comprises', 'strap', 'first')"
"('torn', 'permits', 'removal')"
"('front', 'surface', 'back')"
"('protector', 'comprising', 'protector')"
"('back', 'surface', 'first')"
"('top', 'end', 'opened')"
"('support', 'comprises', 'strap')"
"('position', 'top', 'end')"
"('wherein', 'strap', 'section')"
"('end', 'portion', 'first')"
"('user', 'protector', 'support')"
"('formed', 'fold', 'one')"
"('top', 'end', 'bottom')"
"('cover', 'front', 'surface')"
"('one', 'tearable', 'perforation')"
"('cover', 'second', 'end')"
"('end', 'portion', 'second')"
"('including', 'adhesive', 'section')"
"('section', 'first', 'end')"
"('neck', 'user', 'second')"
